circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,N B T NAGAR,GENERAL PURPOSE,7,1,1.0,8.0,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,PENSION OFIC TO RDNO-12 S.S,GENERAL PURPOSE,7,4,4.0,2283.0,16.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,PRASHASAN NAGAR,GENERAL PURPOSE,7,1,1.0,257.0,5.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,SRIRAMNAGAR,GENERAL PURPOSE,7,4,4.0,846.0,8.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,SYED NAGAR,GENERAL PURPOSE,7,1,1.0,472.0,0.3
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,TRS BHAVAN TO MINISTERS QRTERS,GENERAL PURPOSE,7,3,2.0,648.0,7.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,GENERAL PURPOSE,7,3,3.0,6716.0,44.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GUTTALA BEGUMPET,GENERAL PURPOSE,7,2,1.0,346.0,2.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,GENERAL PURPOSE,7,5,5.0,9395.0,95.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE BILLS  54 TO 60,GENERAL PURPOSE,7,2,,0.0,6.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE HILLS RD NO. 10 TO 15,GENERAL PURPOSE,7,1,1.0,989.0,0.8
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILEE HILLS RD NOS. 26 TO 35,GENERAL PURPOSE,7,3,3.0,3153.0,18.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,JUBILLE HILLS RD NO. 16 TO 22,GENERAL PURPOSE,7,1,1.0,139.0,1.0
